comparison,false_positive_rate,true_positive_rate,auc
same_recording_split_halves,0,0,0.88157418
same_recording_split_halves,0.0001552554,0,0.88157418
same_recording_split_halves,0.0001552554,0.0087719298,0.88157418
same_recording_split_halves,0.0001552554,0.01754386,0.88157418
same_recording_split_halves,0.0001552554,0.026315789,0.88157418
same_recording_split_halves,0.0001552554,0.035087719,0.88157418
same_recording_split_halves,0.00031051079,0.035087719,0.88157418
same_recording_split_halves,0.00046576619,0.035087719,0.88157418
same_recording_split_halves,0.00062102158,0.035087719,0.88157418
same_recording_split_halves,0.00062102158,0.043859649,0.88157418
same_recording_split_halves,0.00077627698,0.043859649,0.88157418
same_recording_split_halves,0.00077627698,0.052631579,0.88157418
same_recording_split_halves,0.00093153237,0.052631579,0.88157418
same_recording_split_halves,0.0010867878,0.052631579,0.88157418
same_recording_split_halves,0.0010867878,0.061403509,0.88157418
same_recording_split_halves,0.0012420432,0.061403509,0.88157418
same_recording_split_halves,0.0012420432,0.070175439,0.88157418
same_recording_split_halves,0.0012420432,0.078947368,0.88157418
same_recording_split_halves,0.0012420432,0.087719298,0.88157418
same_recording_split_halves,0.0013972986,0.087719298,0.88157418
same_recording_split_halves,0.0013972986,0.096491228,0.88157418
same_recording_split_halves,0.001552554,0.096491228,0.88157418
same_recording_split_halves,0.0017078093,0.096491228,0.88157418
same_recording_split_halves,0.0018630647,0.096491228,0.88157418
same_recording_split_halves,0.0020183201,0.096491228,0.88157418
same_recording_split_halves,0.0021735755,0.096491228,0.88157418
same_recording_split_halves,0.0023288309,0.096491228,0.88157418
same_recording_split_halves,0.0023288309,0.10526316,0.88157418
same_recording_split_halves,0.0024840863,0.10526316,0.88157418
same_recording_split_halves,0.0026393417,0.10526316,0.88157418
same_recording_split_halves,0.0027945971,0.10526316,0.88157418
same_recording_split_halves,0.0029498525,0.10526316,0.88157418
same_recording_split_halves,0.0031051079,0.10526316,0.88157418
same_recording_split_halves,0.0031051079,0.11403509,0.88157418
same_recording_split_halves,0.0032603633,0.11403509,0.88157418
same_recording_split_halves,0.0032603633,0.12280702,0.88157418
same_recording_split_halves,0.0034156187,0.12280702,0.88157418
same_recording_split_halves,0.0035708741,0.12280702,0.88157418
same_recording_split_halves,0.0037261295,0.12280702,0.88157418
same_recording_split_halves,0.0038813849,0.12280702,0.88157418
same_recording_split_halves,0.0038813849,0.13157895,0.88157418
same_recording_split_halves,0.0040366403,0.13157895,0.88157418
same_recording_split_halves,0.0041918957,0.13157895,0.88157418
same_recording_split_halves,0.0043471511,0.13157895,0.88157418
same_recording_split_halves,0.0045024065,0.13157895,0.88157418
same_recording_split_halves,0.0046576619,0.13157895,0.88157418
same_recording_split_halves,0.0048129172,0.13157895,0.88157418
same_recording_split_halves,0.0049681726,0.13157895,0.88157418
same_recording_split_halves,0.005123428,0.13157895,0.88157418
same_recording_split_halves,0.0052786834,0.13157895,0.88157418
same_recording_split_halves,0.0054339388,0.13157895,0.88157418
same_recording_split_halves,0.0055891942,0.13157895,0.88157418
same_recording_split_halves,0.0057444496,0.13157895,0.88157418
same_recording_split_halves,0.005899705,0.13157895,0.88157418
same_recording_split_halves,0.0060549604,0.13157895,0.88157418
same_recording_split_halves,0.0060549604,0.14035088,0.88157418
same_recording_split_halves,0.0062102158,0.14035088,0.88157418
same_recording_split_halves,0.0063654712,0.14035088,0.88157418
same_recording_split_halves,0.0065207266,0.14035088,0.88157418
same_recording_split_halves,0.006675982,0.14035088,0.88157418
same_recording_split_halves,0.0068312374,0.14035088,0.88157418
same_recording_split_halves,0.0068312374,0.14912281,0.88157418
same_recording_split_halves,0.0068312374,0.15789474,0.88157418
same_recording_split_halves,0.0069864928,0.15789474,0.88157418
same_recording_split_halves,0.0071417482,0.15789474,0.88157418
same_recording_split_halves,0.0072970036,0.15789474,0.88157418
same_recording_split_halves,0.007452259,0.15789474,0.88157418
same_recording_split_halves,0.0076075144,0.15789474,0.88157418
same_recording_split_halves,0.0077627698,0.15789474,0.88157418
same_recording_split_halves,0.0079180252,0.15789474,0.88157418
same_recording_split_halves,0.0080732805,0.15789474,0.88157418
same_recording_split_halves,0.0082285359,0.15789474,0.88157418
same_recording_split_halves,0.0083837913,0.15789474,0.88157418
same_recording_split_halves,0.0085390467,0.15789474,0.88157418
same_recording_split_halves,0.0085390467,0.16666667,0.88157418
same_recording_split_halves,0.0086943021,0.16666667,0.88157418
same_recording_split_halves,0.0088495575,0.16666667,0.88157418
same_recording_split_halves,0.0090048129,0.16666667,0.88157418
same_recording_split_halves,0.0091600683,0.16666667,0.88157418
same_recording_split_halves,0.0093153237,0.16666667,0.88157418
same_recording_split_halves,0.0093153237,0.1754386,0.88157418
same_recording_split_halves,0.0094705791,0.1754386,0.88157418
same_recording_split_halves,0.0094705791,0.18421053,0.88157418
same_recording_split_halves,0.0096258345,0.18421053,0.88157418
same_recording_split_halves,0.0097810899,0.18421053,0.88157418
